"Customer Delivery Choice","Total Orders",Jan,Qty,Feb,Qty,March,Qty,April,Qty,May,Qty,June,Qty,July,Qty,Aug,Qty,Sep,Qty,Oct,Qty,Nov,Qty,Dec,Qty
UPS,1204,"7,564.00",132,"6,191.00",113,"4,296.00",65,"5,360.00",72,"5,589.00",88,"4,957.00",75,"6,302.00",102,"8,419.00",122,"7,056.00",113,"7,222.00",103,"11,739.00",141,"4,925.00",78
Total,1204,"7,564.00",132,"6,191.00",113,"4,296.00",65,"5,360.00",72,"5,589.00",88,"4,957.00",75,"6,302.00",102,"8,419.00",122,"7,056.00",113,"7,222.00",103,"11,739.00",141,"4,925.00",78
